"rt","response","dr","drt","observed","subject","condition"
0.8966,1,FALSE,0,1,"s1","speed"
0.7782,1,FALSE,0,1,"s1","speed"
0.9743,1,FALSE,0,1,"s1","speed"
0.6868,1,FALSE,0,1,"s1","speed"
0.7365,1,FALSE,0,1,"s1","speed"
0.6397,1,FALSE,0,1,"s1","speed"
0.7045,1,FALSE,0,1,"s1","speed"
0.664,1,FALSE,0,1,"s1","speed"
0.6027,1,FALSE,0,1,"s1","speed"
0.5631,1,FALSE,0,1,"s1","speed"
0.5682,1,FALSE,0,1,"s1","speed"
0.5686,1,FALSE,0,1,"s1","speed"
0.5679,1,FALSE,0,1,"s1","speed"
0.4991,1,FALSE,0,1,"s1","speed"
0.4559,1,FALSE,0,1,"s1","speed"
0.4762,1,FALSE,0,1,"s1","speed"
0.4479,1,FALSE,0,1,"s1","speed"
0.6334,1,FALSE,0,1,"s1","speed"
0.6014,1,FALSE,0,1,"s1","speed"
0.7007,1,FALSE,0,1,"s1","speed"
0.5035,1,FALSE,0,1,"s1","speed"
0.4747,1,FALSE,0,1,"s1","speed"
0.4301,0,FALSE,0,1,"s1","speed"
0.5226,1,FALSE,0,1,"s1","speed"
0.7444,1,FALSE,0,1,"s1","speed"
0.494,1,FALSE,0,1,"s1","speed"
0.7285,1,FALSE,0,1,"s1","speed"
0.4735,0,FALSE,0,1,"s1","speed"
0.7774,1,FALSE,0,1,"s1","speed"
0.831,1,FALSE,0,1,"s1","speed"
0.5787,1,FALSE,0,1,"s1","speed"
0.7062,1,FALSE,0,1,"s1","speed"
0.6886,1,FALSE,0,1,"s1","speed"
0.463,0,FALSE,0,1,"s1","speed"
0.5687,1,FALSE,0,1,"s1","speed"
0.8233,1,FALSE,0,1,"s1","speed"
0.5132,1,FALSE,0,1,"s1","speed"
0.5469,1,FALSE,0,1,"s1","speed"
0.3201,1,FALSE,0,1,"s1","speed"
0.3081,0,FALSE,0,1,"s1","speed"
0.6469,1,FALSE,0,1,"s1","speed"
0.3516,0,FALSE,0,1,"s1","speed"
0.8734,0,FALSE,0,1,"s1","speed"
0.7334,1,FALSE,0,1,"s1","speed"
0.6931,1,FALSE,0,1,"s1","speed"
0.9177,1,FALSE,0,1,"s1","speed"
0.5993,0,FALSE,0,1,"s1","speed"
1.1571,1,FALSE,0,1,"s1","speed"
0.6402,1,FALSE,0,1,"s1","speed"
1.3185,1,FALSE,0,1,"s1","speed"
0.5831,1,FALSE,0,1,"s1","speed"
0.6235,1,FALSE,0,1,"s1","speed"
0.7022,0,FALSE,0,1,"s1","speed"
0.5285,1,FALSE,0,1,"s1","speed"
0.5632,0,FALSE,0,1,"s1","speed"
0.6406,1,FALSE,0,1,"s1","speed"
0.8157,1,FALSE,0,1,"s1","speed"
0.5878,0,FALSE,0,1,"s1","speed"
0.7511,0,FALSE,0,1,"s1","speed"
0.6278,1,FALSE,0,1,"s1","speed"
0.5645,1,FALSE,0,1,"s1","speed"
0.6859,1,FALSE,0,1,"s1","speed"
0.5378,1,FALSE,0,1,"s1","speed"
0.4993,1,FALSE,0,1,"s1","speed"
0.4875,1,FALSE,0,1,"s1","speed"
1.0356,0,FALSE,0,1,"s1","speed"
0.6259,1,FALSE,0,1,"s1","speed"
0.7631,0,FALSE,0,1,"s1","speed"
0.8612,1,FALSE,0,1,"s1","speed"
0.5879,0,FALSE,0,1,"s1","speed"
0.5339,0,FALSE,0,1,"s1","speed"
0.6161,1,FALSE,0,1,"s1","speed"
0.5783,1,FALSE,0,1,"s1","speed"
0.5775,1,FALSE,0,1,"s1","speed"
0.8232,1,FALSE,0,1,"s1","speed"
0.5654,0,FALSE,0,1,"s1","speed"
